,1 1 -0.0007 -0.0004 100.0 518.67 641.82 1589.70 1400.60 14.62 21.61 554.36 2388.06 9046.19 1.30 47.47 521.66 2388.02 8138.62 8.4195 0.03 392 2388 100.00 39.06 23.4190  
28,1 30 -0.0022 0.0000 100.0 518.67 642.20 1593.52 1396.08 14.62 21.61 554.37 2388.07 9045.62 1.30 47.40 522.19 2388.00 8137.86 8.4065 0.03 390 2388 100.00 39.05 23.4110  
29,1 31 0.0014 0.0005 100.0 518.67 642.02 1584.18 1396.90 14.62 21.61 554.13 2388.08 9058.78 1.30 47.41 521.95 2388.06 8125.28 8.4104 0.03 392 2388 100.00 38.94 23.3353  
30,1 32 0.0005 -0.0003 100.0 518.67 642.33 1591.38 1400.36 14.62 21.61 554.96 2388.04 9050.97 1.30 47.25 521.92 2388.07 8129.70 8.4148 0.03 392 2388 100.00 39.02 23.4999  
31,1 33 -0.0042 -0.0004 100.0 518.67 642.71 1588.40 1402.43 14.62 21.61 554.61 2388.04 9047.13 1.30 47.28 521.91 2388.08 8134.42 8.3753 0.03 392 2388 100.00 38.83 23.3506  
32,1 34 0.0015 -0.0001 100.0 518.67 642.54 1581.47 1400.48 14.62 21.61 554.30 2388.03 9046.46 1.30 47.47 521.70 2388.09 8126.61 8.4349 0.03 392 2388 100.00 38.81 23.3092  
33,1 35 0.0003 0.0002 100.0 518.67 642.44 1590.00 1403.00 14.62 21.61 554.30 2388.04 9045.76 1.30 47.31 521.75 2388.01 8140.17 8.4430 0.03 391 2388 100.00 39.13 23.4164  
34,1 36 -0.0004 -0.0002 100.0 518.67 642.54 1581.72 1405.54 14.62 21.61 554.53 2388.01 9044.56 1.30 47.25 522.32 2388.04 8132.48 8.4246 0.03 392 2388 100.00 38.86 23.4308  
35,1 37 -0.0004 -0.0000 100.0 518.67 641.99 1579.11 1398.90 14.62 21.61 554.63 2388.07 9055.44 1.30 47.29 522.29 2388.04 8131.95 8.4142 0.03 392 2388 100.00 38.99 23.4352  
36,1 38 -0.0018 -0.0002 100.0 518.67 641.93 1589.60 1399.50 14.62 21.61 554.70 2388.08 9055.27 1.30 47.27 522.42 2388.08 8136.61 8.4158 0.03 392 2388 100.00 39.06 23.4768  
37,1 39 -0.0030 -0.0001 100.0 518.67 642.01 1583.21 1400.69 14.62 21.61 553.97 2388.02 9051.76 1.30 47.12 522.23 2388.05 8131.81 8.4140 0.03 392 2388 100.00 38.70 23.3699  
38,1 40 -0.0000 -0.0004 100.0 518.67 642.24 1582.08 1401.77 14.62 21.61 554.57 2388.06 9052.98 1.30 47.33 521.84 2388.01 8131.03 8.3784 0.03 392 2388 100.00 38.84 23.3769  
39,1 41 0.0033 0.0004 100.0 518.67 642.40 1591.31 1403.21 14.62 21.61 553.72 2388.06 9048.99 1.30 47.09 522.07 2388.03 8138.08 8.4370 0.03 392 2388 100.00 39.13 23.4444  
40,1 42 0.0005 -0.0004 100.0 518.67 642.12 1584.66 1401.38 14.62 21.61 553.94 2388.08 9057.06 1.30 47.49 522.23 2388.05 8130.88 8.4137 0.03 392 2388 100.00 39.00 23.3750  
41,1 43 -0.0027 0.0005 100.0 518.67 642.24 1591.52 1406.05 14.62 21.61 553.68 2388.03 9057.88 1.30 47.32 522.74 2388.09 8127.22 8.4068 0.03 392 2388 100.00 38.99 23.3148  
42,1 44 -0.0001 0.0002 100.0 518.67 641.93 1586.94 1401.20 14.62 21.61 554.15 2388.04 9046.87 1.30 47.45 522.30 2388.00 8131.45 8.4201 0.03 392 2388 100.00 39.06 23.4753  
43,1 45 -0.0013 -0.0000 100.0 518.67 642.53 1582.42 1399.16 14.62 21.61 553.83 2388.08 9060.32 1.30 47.45 521.73 2388.05 8128.31 8.4099 0.03 393 2388 100.00 38.79 23.3943  
44,1 46 0.0003 0.0001 100.0 518.67 642.43 1588.29 1401.27 14.62 21.61 553.76 2388.06 9060.38 1.30 47.20 522.02 2388.08 8128.71 8.3977 0.03 393 2388 100.00 38.93 23.3745  
45,1 47 0.0000 0.0005 100.0 518.67 642.21 1580.32 1402.89 14.62 21.61 554.38 2388.06 9052.04 1.30 47.22 521.84 2388.05 8126.21 8.3973 0.03 392 2388 100.00 38.99 23.4873  
46,1 48 0.0019 0.0001 100.0 518.67 641.89 1588.51 1399.16 14.62 21.61 554.02 2388.08 9045.26 1.30 47.40 521.91 2388.06 8129.99 8.4376 0.03 392 2388 100.00 38.94 23.3650  
47,1 49 -0.0014 0.0005 100.0 518.67 642.23 1584.35 1397.76 14.62 21.61 554.23 2388.07 9050.64 1.30 47.22 521.37 2388.04 8135.48 8.4151 0.03 392 2388 100.00 39.06 23.4498  
48,1 50 -0.0032 -0.0001 100.0 518.67 642.77 1588.49 1403.62 14.62 21.61 553.92 2388.06 9048.60 1.30 47.47 522.33 2388.09 8127.30 8.4116 0.03 392 2388 100.00 38.85 23.4106  
49,1 51 -0.0010 0.0003 100.0 518.67 642.81 1585.54 1400.42 14.62 21.61 553.73 2388.02 9047.09 1.30 47.12 521.91 2388.05 8134.36 8.4504 0.03 393 2388 100.00 38.94 23.3651  
50,1 52 0.0018 -0.0001 100.0 518.67 642.76 1583.77 1395.57 14.62 21.61 553.04 2388.04 9056.01 1.30 47.07 522.10 2388.07 8132.82 8.4539 0.03 391 2388 100.00 39.00 23.3388  
51,1 53 0.0021 -0.0001 100.0 518.67 642.61 1579.82 1402.26 14.62 21.61 554.16 2388.05 9051.15 1.30 47.29 521.96 2388.06 8134.38 8.4418 0.03 392 2388 100.00 38.90 23.3775  
52,1 54 -0.0002 0.0005 100.0 518.67 642.42 1592.59 1401.20 14.62 21.61 553.95 2388.04 9056.29 1.30 47.38 522.44 2388.06 8129.95 8.4189 0.03 392 2388 100.00 38.96 23.2348  
53,1 55 0.0009 -0.0000 100.0 518.67 642.41 1584.95 1401.58 14.62 21.61 554.45 2388.04 9048.94 1.30 47.40 522.11 2388.02 8134.10 8.4071 0.03 392 2388 100.00 39.06 23.3567  
54,1 56 0.0007 -0.0002 100.0 518.67 642.49 1586.33 1400.76 14.62 21.61 553.98 2388.01 9042.42 1.30 47.26 522.48 2388.04 8135.40 8.4022 0.03 391 2388 100.00 38.68 23.3408  
55,1 57 -0.0033 0.0000 100.0 518.67 642.13 1583.67 1402.79 14.62 21.61 553.42 2388.05 9050.80 1.30 47.29 521.62 2388.08 8135.48 8.4263 0.03 392 2388 100.00 38.84 23.3567  
56,1 58 -0.0014 0.0001 100.0 518.67 641.90 1590.46 1397.99 14.62 21.61 554.14 2388.09 9050.33 1.30 47.26 522.21 2388.04 8132.08 8.4319 0.03 390 2388 100.00 38.93 23.2893  
57,1 59 -0.0006 0.0002 100.0 518.67 642.33 1596.72 1403.51 14.62 21.61 554.62 2388.07 9050.06 1.30 47.26 521.32 2388.02 8128.81 8.4476 0.03 392 2388 100.00 38.92 23.4444  
58,1 60 -0.0010 -0.0002 100.0 518.67 642.34 1582.75 1403.07 14.62 21.61 554.00 2388.06 9051.69 1.30 47.41 522.49 2388.03 8132.89 8.3878 0.03 393 2388 100.00 38.89 23.3870  
59,1 61 0.0004 0.0005 100.0 518.67 642.10 1583.55 1405.52 14.62 21.61 554.09 2388.11 9050.58 1.30 47.31 522.34 2388.09 8131.66 8.4264 0.03 391 2388 100.00 38.89 23.3638  
60,1 62 0.0004 0.0001 100.0 518.67 642.17 1581.59 1399.54 14.62 21.61 554.45 2388.10 9053.62 1.30 47.28 522.19 2388.10 8132.28 8.4071 0.03 391 2388 100.00 39.03 23.2707  
61,1 63 0.0015 0.0002 100.0 518.67 642.60 1592.14 1395.38 14.62 21.61 553.48 2388.06 9049.96 1.30 47.51 521.56 2388.01 8130.73 8.4357 0.03 394 2388 100.00 38.77 23.3436  
62,1 64 0.0017 0.0002 100.0 518.67 642.23 1584.51 1400.11 14.62 21.61 553.88 2388.10 9043.67 1.30 47.45 521.82 2388.04 8128.15 8.4066 0.03 391 2388 100.00 38.93 23.3840  
63,1 65 -0.0000 0.0005 100.0 518.67 642.28 1584.72 1403.24 14.62 21.61 553.97 2388.03 9044.01 1.30 47.56 521.54 2388.13 8132.94 8.4406 0.03 392 2388 100.00 38.90 23.3752  
64,1 66 -0.0007 -0.0004 100.0 518.67 642.50 1588.50 1399.52 14.62 21.61 554.00 2388.06 9059.45 1.30 47.14 521.76 2388.05 8128.32 8.3911 0.03 391 2388 100.00 38.95 23.3152  
65,1 67 0.0016 -0.0004 100.0 518.67 642.33 1590.22 1403.02 14.62 21.61 554.31 2388.10 9050.24 1.30 47.39 522.64 2388.08 8134.07 8.3925 0.03 393 2388 100.00 38.97 23.2910  
66,1 68 -0.0018 0.0000 100.0 518.67 642.51 1582.06 1404.42 14.62 21.61 554.04 2388.10 9051.78 1.30 47.36 521.72 2388.07 8132.39 8.4242 0.03 392 2388 100.00 38.95 23.3174  
67,1 69 -0.0022 0.0005 100.0 518.67 642.44 1590.70 1401.24 14.62 21.61 554.65 2388.07 9050.59 1.30 47.41 522.22 2388.10 8129.13 8.4292 0.03 392 2388 100.00 39.00 23.3742  
68,1 70 -0.0005 0.0002 100.0 518.67 642.22 1584.02 1402.78 14.62 21.61 554.01 2388.11 9053.43 1.30 47.41 521.93 2388.12 8130.36 8.4279 0.03 392 2388 100.00 38.86 23.4513  
69,1 71 0.0016 -0.0003 100.0 518.67 642.21 1580.41 1403.09 14.62 21.61 554.06 2388.03 9046.09 1.30 47.30 521.72 2388.09 8134.28 8.4230 0.03 391 2388 100.00 38.80 23.3881  
70,1 72 -0.0017 0.0001 100.0 518.67 642.41 1579.25 1406.81 14.62 21.61 553.76 2388.07 9054.42 1.30 47.27 521.97 2388.09 8133.95 8.3951 0.03 391 2388 100.00 38.84 23.3085  
71,1 73 -0.0012 -0.0002 100.0 518.67 642.29 1592.04 1397.93 14.62 21.61 553.88 2388.03 9049.64 1.30 47.29 522.04 2388.10 8129.85 8.4040 0.03 391 2388 100.00 39.03 23.3975  
72,1 74 0.0027 0.0001 100.0 518.67 642.96 1584.65 1401.48 14.62 21.61 554.03 2388.07 9045.85 1.30 47.58 522.25 2387.97 8132.67 8.4135 0.03 392 2388 100.00 38.80 23.3820  
73,1 75 0.0009 -0.0004 100.0 518.67 641.96 1582.32 1394.82 14.62 21.61 553.60 2388.07 9042.32 1.30 47.22 521.77 2388.11 8130.13 8.4621 0.03 392 2388 100.00 38.89 23.3521  
74,1 76 -0.0015 0.0002 100.0 518.67 642.21 1589.21 1398.94 14.62 21.61 553.66 2388.02 9056.55 1.30 47.44 521.58 2388.03 8136.44 8.3996 0.03 390 2388 100.00 39.02 23.4428  
75,1 77 0.0022 0.0004 100.0 518.67 642.55 1586.30 1400.97 14.62 21.61 554.61 2388.06 9046.44 1.30 47.41 521.60 2388.08 8135.25 8.4530 0.03 393 2388 100.00 38.99 23.2750  
76,1 78 0.0040 0.0002 100.0 518.67 641.99 1580.76 1404.10 14.62 21.61 553.47 2388.08 9042.37 1.30 47.40 522.28 2388.16 8133.91 8.3793 0.03 392 2388 100.00 38.88 23.3486  
77,1 79 0.0022 -0.0002 100.0 518.67 642.12 1582.46 1403.93 14.62 21.61 553.77 2388.04 9047.86 1.30 47.35 521.85 2388.13 8135.40 8.4132 0.03 394 2388 100.00 38.90 23.3121  
78,1 80 -0.0002 -0.0004 100.0 518.67 641.94 1591.96 1393.58 14.62 21.61 553.91 2388.06 9043.67 1.30 47.64 521.52 2388.10 8134.66 8.4235 0.03 392 2388 100.00 38.89 23.3613  
79,1 81 -0.0018 -0.0004 100.0 518.67 642.73 1584.82 1402.04 14.62 21.61 553.88 2388.10 9045.31 1.30 47.43 521.66 2388.05 8128.87 8.4247 0.03 392 2388 100.00 38.77 23.3730  
80,1 82 -0.0012 0.0001 100.0 518.67 642.04 1589.07 1399.17 14.62 21.61 554.18 2388.10 9048.22 1.30 47.25 521.95 2388.03 8134.04 8.3986 0.03 393 2388 100.00 38.89 23.2713  
81,1 83 0.0004 0.0005 100.0 518.67 642.66 1588.05 1406.38 14.62 21.61 553.49 2388.08 9049.08 1.30 47.22 521.93 2388.05 8131.32 8.4128 0.03 391 2388 100.00 38.80 23.3274  
82,1 84 0.0005 0.0002 100.0 518.67 642.64 1585.52 1406.60 14.62 21.61 553.91 2388.05 9050.47 1.30 47.38 521.54 2388.06 8131.54 8.4139 0.03 392 2388 100.00 38.73 23.2653  
83,1 85 0.0025 0.0003 100.0 518.67 642.28 1590.12 1405.96 14.62 21.61 554.40 2388.01 9056.08 1.30 47.36 522.30 2388.05 8135.31 8.4499 0.03 392 2388 100.00 39.01 23.2840  
84,1 86 -0.0012 0.0004 100.0 518.67 641.84 1588.80 1403.56 14.62 21.61 553.69 2388.10 9047.26 1.30 47.38 521.82 2388.09 8130.06 8.4173 0.03 394 2388 100.00 38.94 23.3945  
85,1 87 0.0000 -0.0004 100.0 518.67 642.33 1586.69 1413.10 14.62 21.61 554.10 2388.14 9050.52 1.30 47.34 521.43 2388.06 8130.41 8.4326 0.03 391 2388 100.00 38.88 23.3402  
86,1 88 0.0029 0.0003 100.0 518.67 641.96 1581.29 1406.09 14.62 21.61 554.48 2388.07 9046.73 1.30 47.46 522.20 2388.04 8131.47 8.4586 0.03 392 2388 100.00 38.90 23.3086  
87,1 89 0.0008 -0.0001 100.0 518.67 642.24 1584.73 1402.22 14.62 21.61 553.91 2388.05 9055.24 1.30 47.46 521.55 2388.08 8135.15 8.4489 0.03 392 2388 100.00 38.95 23.3288  
88,1 90 0.0017 -0.0001 100.0 518.67 642.67 1584.38 1412.93 14.62 21.61 552.88 2388.10 9051.27 1.30 47.32 521.49 2388.09 8129.72 8.3961 0.03 391 2388 100.00 38.98 23.4712  
89,1 91 0.0025 -0.0004 100.0 518.67 641.98 1584.84 1404.76 14.62 21.61 553.54 2388.04 9050.72 1.30 47.32 521.55 2388.10 8134.40 8.3949 0.03 394 2388 100.00 39.11 23.3842  
90,1 92 0.0010 -0.0002 100.0 518.67 642.89 1590.03 1400.77 14.62 21.61 553.81 2388.14 9048.36 1.30 47.45 521.91 2388.05 8131.39 8.3982 0.03 392 2388 100.00 38.99 23.3522  
91,1 93 0.0032 0.0002 100.0 518.67 642.85 1593.74 1408.48 14.62 21.61 554.07 2388.07 9047.87 1.30 47.46 521.43 2388.08 8133.15 8.4210 0.03 392 2388 100.00 38.86 23.2477  
92,1 94 -0.0021 0.0002 100.0 518.67 642.45 1583.27 1404.94 14.62 21.61 553.86 2388.15 9045.83 1.30 47.48 521.61 2388.07 8132.40 8.4524 0.03 393 2388 100.00 38.85 23.3758  
93,1 95 0.0019 0.0003 100.0 518.67 642.86 1577.60 1410.10 14.62 21.61 553.91 2388.02 9048.85 1.30 47.38 521.92 2388.02 8131.63 8.4575 0.03 394 2388 100.00 38.76 23.3269  
94,1 96 -0.0034 0.0001 100.0 518.67 642.19 1584.07 1395.16 14.62 21.61 553.34 2388.07 9048.71 1.30 47.39 521.66 2388.06 8130.69 8.4311 0.03 392 2388 100.00 38.88 23.3255  
95,1 97 0.0035 -0.0003 100.0 518.67 642.07 1595.77 1407.81 14.62 21.61 553.40 2388.09 9046.10 1.30 47.46 521.67 2388.06 8128.74 8.4105 0.03 392 2388 100.00 39.01 23.2963  
96,1 98 0.0006 0.0004 100.0 518.67 642.00 1591.11 1404.56 14.62 21.61 552.75 2388.06 9045.49 1.30 47.37 522.31 2388.06 8127.89 8.4012 0.03 391 2388 100.00 38.96 23.2554  
97,1 99 -0.0005 -0.0000 100.0 518.67 642.46 1592.73 1406.13 14.62 21.61 553.76 2388.08 9045.14 1.30 47.40 521.42 2388.10 8131.77 8.4481 0.03 393 2388 100.00 38.82 23.2323  
98,1 100 -0.0021 -0.0003 100.0 518.67 642.22 1589.63 1411.35 14.62 21.61 554.22 2388.07 9045.72 1.30 47.64 521.55 2388.08 8132.49 8.4241 0.03 392 2388 100.00 38.93 23.4090  
99,1 101 0.0012 0.0003 100.0 518.67 642.75 1584.18 1403.41 14.62 21.61 553.37 2388.06 9052.30 1.30 47.62 521.89 2388.08 8125.97 8.4353 0.03 391 2388 100.00 38.75 23.4149  
100,1 102 0.0017 0.0005 100.0 518.67 642.85 1589.11 1403.42 14.62 21.61 553.42 2388.15 9051.36 1.30 47.49 521.38 2388.05 8130.40 8.4561 0.03 393 2388 100.00 38.94 23.3653  
101,1 103 -0.0013 0.0001 100.0 518.67 642.21 1581.27 1403.21 14.62 21.61 553.64 2388.09 9053.28 1.30 47.57 521.41 2388.10 8124.40 8.4263 0.03 392 2388 100.00 38.69 23.4289  
102,1 104 -0.0001 0.0001 100.0 518.67 642.29 1590.63 1406.25 14.62 21.61 553.66 2388.08 9044.73 1.30 47.34 522.38 2388.09 8131.89 8.4021 0.03 392 2388 100.00 38.96 23.3393  
103,1 105 0.0024 0.0004 100.0 518.67 642.01 1588.28 1403.22 14.62 21.61 553.11 2388.09 9048.36 1.30 47.31 521.81 2388.08 8134.01 8.4326 0.03 393 2388 100.00 38.77 23.3857  
104,1 106 0.0000 0.0001 100.0 518.67 642.68 1589.05 1404.45 14.62 21.61 553.60 2388.08 9049.82 1.30 47.44 521.51 2388.09 8126.38 8.4664 0.03 392 2388 100.00 39.08 23.4148  
105,1 107 -0.0012 -0.0001 100.0 518.67 642.53 1595.13 1407.73 14.62 21.61 553.74 2388.07 9048.68 1.30 47.35 521.75 2388.07 8132.40 8.4241 0.03 396 2388 100.00 39.01 23.4086  
106,1 108 0.0008 0.0001 100.0 518.67 643.49 1585.91 1399.47 14.62 21.61 554.43 2388.14 9047.03 1.30 47.61 521.52 2388.03 8131.52 8.4133 0.03 393 2388 100.00 38.75 23.3032  
107,1 109 -0.0011 -0.0003 100.0 518.67 642.49 1586.45 1409.10 14.62 21.61 553.59 2388.10 9051.13 1.30 47.58 521.62 2388.11 8130.97 8.3757 0.03 394 2388 100.00 39.05 23.3561  
108,1 110 -0.0000 0.0004 100.0 518.67 642.55 1590.01 1401.27 14.62 21.61 554.08 2388.13 9051.40 1.30 47.55 522.01 2388.12 8127.16 8.4638 0.03 393 2388 100.00 39.06 23.2951  
109,1 111 0.0008 0.0004 100.0 518.67 642.67 1584.38 1408.11 14.62 21.61 553.49 2388.12 9051.64 1.30 47.62 521.53 2388.14 8132.40 8.4447 0.03 392 2388 100.00 38.92 23.2135  
110,1 112 0.0005 0.0003 100.0 518.67 642.66 1586.46 1401.84 14.62 21.61 553.19 2388.06 9051.28 1.30 47.22 521.90 2388.08 8131.52 8.4445 0.03 394 2388 100.00 38.84 23.3207  
111,1 113 0.0007 0.0001 100.0 518.67 642.68 1590.85 1406.59 14.62 21.61 552.91 2388.10 9053.15 1.30 47.46 521.75 2388.16 8129.32 8.4580 0.03 393 2388 100.00 38.90 23.3101  
112,1 114 0.0003 0.0004 100.0 518.67 642.31 1588.42 1402.97 14.62 21.61 554.29 2388.07 9046.58 1.30 47.58 521.68 2388.15 8132.36 8.4290 0.03 394 2388 100.00 38.89 23.3754  
113,1 115 -0.0017 0.0005 100.0 518.67 642.66 1594.84 1406.60 14.62 21.61 554.13 2388.11 9050.37 1.30 47.43 521.36 2388.12 8127.60 8.4345 0.03 393 2388 100.00 38.93 23.3022  
114,1 116 -0.0020 -0.0003 100.0 518.67 642.64 1580.31 1401.99 14.62 21.61 554.40 2388.08 9049.71 1.30 47.43 521.60 2388.05 8134.46 8.4059 0.03 394 2388 100.00 39.03 23.3512  
115,1 117 0.0005 0.0004 100.0 518.67 642.38 1589.77 1409.35 14.62 21.61 554.59 2388.10 9049.61 1.30 47.52 521.22 2388.10 8126.12 8.4256 0.03 391 2388 100.00 38.73 23.1766  
116,1 118 -0.0006 -0.0004 100.0 518.67 642.34 1585.67 1409.34 14.62 21.61 554.25 2388.10 9051.12 1.30 47.55 521.31 2388.12 8135.21 8.4197 0.03 393 2388 100.00 38.88 23.2966  
117,1 119 0.0013 0.0005 100.0 518.67 642.67 1596.80 1404.46 14.62 21.61 553.77 2388.10 9045.89 1.30 47.55 521.46 2388.09 8123.85 8.4194 0.03 394 2388 100.00 39.01 23.3188  
118,1 120 -0.0024 0.0005 100.0 518.67 642.81 1593.78 1407.68 14.62 21.61 553.66 2388.10 9048.72 1.30 47.60 521.34 2388.10 8125.57 8.4029 0.03 393 2388 100.00 38.81 23.3061  
119,1 121 -0.0033 0.0004 100.0 518.67 642.63 1593.56 1411.90 14.62 21.61 553.70 2388.07 9040.97 1.30 47.44 521.30 2388.04 8133.94 8.4263 0.03 394 2388 100.00 38.63 23.4220  
120,1 122 0.0026 -0.0001 100.0 518.67 643.30 1593.68 1413.97 14.62 21.61 553.43 2388.15 9042.39 1.30 47.60 520.92 2388.12 8131.81 8.4256 0.03 393 2388 100.00 38.86 23.2793  
121,1 123 0.0016 -0.0002 100.0 518.67 643.39 1586.66 1403.04 14.62 21.61 552.64 2388.12 9049.44 1.30 47.41 521.60 2388.17 8129.72 8.4396 0.03 392 2388 100.00 38.90 23.2920  
122,1 124 0.0025 0.0002 100.0 518.67 642.48 1587.14 1402.28 14.62 21.61 552.26 2388.13 9053.03 1.30 47.55 521.40 2388.13 8133.82 8.4416 0.03 393 2388 100.00 38.80 23.2341  
123,1 125 -0.0004 0.0005 100.0 518.67 642.96 1585.47 1406.42 14.62 21.61 552.44 2388.13 9046.16 1.30 47.63 521.57 2388.11 8126.33 8.4079 0.03 394 2388 100.00 38.68 23.3039  
